address,agent_address1,agent_email,agent_lat,agent_lng,agent_mobile,agent_name,agent_phone,building_type,deposit,description,elevator,floor,floor_all,image,lat,lng,local1,local2,local3,manage_cost,manage_cost_inc,movein_date,near_subways,options,parking,pets_text,room_direction_text,room_type,sales_type,service_type,size,size_m2,title,updated_at2,user_intro,user_name,url
서울시 관악구 신림동 1459-26 ,서울특별시 관악구 행운길 9 ,kiki170901@naver.com,37.479594,126.958914,010-3516-6326,다올공인중개사사무소(이지은),02-885-0011,다세대건물,18000,"해당 매물의 특징 보고가세용😘

💙2호선 신림역 완전 평지 도보 5분

💙막힌 건물 없고 양창에 채광 우수함

💙집 바로앞 무인빨래방+편의점 등 편의시설 보유

💙주변에 없는 원룸 신축 전세 

💙인덕션, 냉장고, 전자레인지, 에어컨, 옷장 옵션

💙원룸 중 정말 넓은 사이즈

💙월세 가능

1000% 실매물만을 취급하여 책임감과 신뢰감을 안겨드리겠습니다. 
꼼꼼한 권리분석으로 안심하고 입주 하실 수 있게, 
또 1,2년 거주하시면서 집때문에 스트레스 받지 않도록 도와드리겠습니다.


※다올부동산은 한국공인중개사협회 공제금액 1억원 가입한 부동산입니다※
21.10.26에 직방에 등록된 매물입니다.",있음,6층,8층,"https://ic.zigbang.com/ic/items/29210115/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29210115/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29210115/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29210115/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29210115/5.jpg?w=400&h=300&q=70&a=1",37.486420,126.925421,서울시,관악구,신림동,8만원,"수도,인터넷,TV",즉시 입주,"신림역(2호선), 신대방역(2호선), 신대방삼거리역(7호선)","에어컨,냉장고,세탁기,인덕션,옷장,싱크대",가능,확인필요,남향,분리형 원룸,전세,원룸,23,76.03,🎀대출가능🎀 올화이트 우드포인트 바닥타일 센스백만점🙈,2021-10-26,"관악 동작 서초 강남 금천 구로 영등포 등 모두 중개 가능한 다올 부동산입니다. 

통화가 어려우시면 아래 조건을 보내주세요.
해당 매물 뿐만 아니라 보실 수 있는 더 많은 매물을 준비하겠습니다.

🔶입주날짜-
🔶보증금/월세-
🔶대출여부/종류-
🔶선호지역-(ex.역 기준 도보00분 이내)
🔶원하시는조건-(ex.애완동물,주차,2인거주,단기 등) 
",중개보조원 정일훈,https://zigbang.com/home/oneroom/items/29210115
서울시 강남구 역삼동 689-26 ,"서울특별시 강남구 봉은사로 302 101동 601호(역삼동,역삼SK리더스뷰)",pkm242@naver.com,37.50869,127.039406,010-9658-9779,RED공인중개사사무소(박광민),02-514-9994,다세대건물,700,"■ 오랜기간동안 심혈을 기울려 완성된 신축빌딩 풀옵션 복층형 매물 입니다. 

■ 전속관리 건물로 가장 좋은 조건으로 보실 수 있습니다.

■ 사진으로 보시는것 보다 직접 보시면 그 가치를 알게 됩니다. 


1. 구조 


- 뛰어난 디자인과 실용적인 구조로 나만의 세련되고 아늑한 공간을 원하시는 분에게 추천드립니다^^ 

- 강남 전망이 파노라마처럼 펼쳐지는 나만의 럭셔리 하우스 // 높은 층고로 개방감 최상 !!

- 드레스룸 각종 수납장 붙박이장이 세팅되어 있어 수납걱정 없습니다.

- 내부 인테리어 자재 및 각종 창호 최상급 시공(자외선차단기능)으로 안전뿐만아니라 

- 침실 /욕실 /거실2 /중정 /드레스룸 /테라스 복층구조 매물입니다! 


2. 주변 환경 및 교통편 


- 분당선 9호선 선정릉역 도보10분 2호선 선릉역 7분 거리 입니다. 

- 대로변이면에 있는 건물로 대로변과도 통하는 길이 있어 접근성이 좋고 편리합니다.

- 건물외관 복도 CCTV 및 현관전자도어락으로 철저한 보안시스템까지!!

- 카드키가 있어야 엘리베이터 이용이 가능한 안전한 집 입니다


3. 옵션 


- 더 이상 말이필요없는 최고급자재와 인테리어를 자랑하는 신축 풀옵션 복층

- 고급침대, 고급소파 , 60인치 대형 TV, 냉장고, 에어컨, 붙박이장, 책상, 식탁 등 모든옵션 

명품 및 최고사양 옵션들 입니다. 

- 애완동물 및 주차는 불가하오니 참고 부탁드립니다.


★ 문의 주시면 자세히 말씀 드리겠습니다.★
21.10.30에 직방에 등록된 매물입니다.",있음,7층,7층,"https://ic.zigbang.com/ic/items/29253908/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/11.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29253908/12.jpg?w=400&h=300&q=70&a=1",37.506377,127.041349,서울시,강남구,역삼동,20만원,"인터넷,TV",즉시 입주,"선정릉역(분당선), 선릉역(2호선,분당선), 언주역(9호선)","에어컨,냉장고,세탁기,인덕션,전자레인지,책상,책장,침대,옷장,신발장,싱크대",불가능,확인필요,남향,복층형 원룸,월세,원룸,20,66.12,★ 강남에서 가장 예쁜집 ★ 강남 최고의 전망 ●,2021-10-30,"안녕하세요. 
Real Estate Development.
RED공인중개사사무소
RED공인은 실가격과 실사진으로 허위광고를 하지 않습니다.",대표공인중개사 박광민,https://zigbang.com/home/oneroom/items/29253908
서울시 강남구 역삼동 742-26 ,서울 강남구 역삼동 671-31,banhadahouse@gmail.com,37.504435,127.038318,010-6710-6467,반하다공인중개사사무소(전용주),02-567-6467,다세대건물,200,"🎯 한줄평 Review
⭐내부 리모델링 완료! 합리적인 선택을 위한 매물

🎯 위치 & 교통 Location & Transportation
✔강남역(2호선), 역삼역(2호선)

🎯 특징 Features
✔ 원룸원거실이지만 투룸으로 분리가 됩니다 
✔ 분리형 원룸으로 쾌적한 생활 가능!!
✔ 공간활용도 짱짱
✔ 엘리베이터가 있어 생활이 편합니다

🎯 주차 & 편의 시설 Parking & Amenities
✔ 총 주차 8대, 해당 세대 선착순 주차가능
✔ 병원 / 편의점 / 세탁소 인접으로 편리

📢 3개월 계약 기준/1~2개월 협의 후 가능
21.10.27에 직방에 등록된 매물입니다.",있음,4층,6층,"https://ic.zigbang.com/ic/items/29216076/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/11.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/12.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/13.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/14.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/15.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/16.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/17.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216076/18.jpg?w=400&h=300&q=70&a=1",37.495436,127.034305,서울시,강남구,역삼동,10만원,TV,즉시 입주,"강남역(2호선,신분당선), 역삼역(2호선), 신논현역(9호선)","에어컨,냉장고,세탁기,가스레인지,전자레인지,침대,신발장,싱크대",가능,확인필요,남향,분리형 원룸,월세,원룸,18,59.5,🟥무🟧제🟨한🟩공🟦간🟪,2021-10-27,"📌 강남 원룸, 투룸, 빌라, 오피스텔, 아파트, 상가 종목별 담당자 최다 매물 보유

📌 실시간 매물 업데이트/조건에 따른 필터링 시스템

📌 월세 및 보증금 최대 협의

📌 100% 실제 촬영한 무보정 실사진

📌 학생/여성 전용 안심매물 보유

📌 We are able to communicate in your native language! Feel free to call or text me anytime :) 

📌本公司有会说中文的职员随时联系我们",대표공인중개사 전용주,https://zigbang.com/home/oneroom/items/29216076
서울시 강남구 논현동 158-31 ,서울 강남구 역삼동 671-31,banhadahouse@gmail.com,37.504435,127.038318,010-6710-6467,반하다공인중개사사무소(전용주),02-567-6467,다세대건물,100,"🎯 한줄평 Review
⭐넓은 방 찾으시는 분들 최적화

🎯 위치 & 교통 Location & Transportation
 ✔ 논현역(7호선), 신논현역(9호선), 언주역(9호선)

🎯 특징 Features
 ✔ 넓고 시원한 방 구조
 ✔ 깔끔하고 모던한 인테리어

🎯 주차 & 편의 시설 Parking & Amenities
 ✔ 주차 불가능
 ✔ 병원 / 편의점 / 세탁소 인접으로 편리

📢 3개월 계약 기준/1~2개월 협의 후 가능
21.10.27에 직방에 등록된 매물입니다.",있음,4층,5층,"https://ic.zigbang.com/ic/items/29214500/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/11.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29214500/12.jpg?w=400&h=300&q=70&a=1",37.509173,127.027071,서울시,강남구,논현동,10만원,TV,즉시 입주,"논현역(7호선), 신논현역(9호선), 언주역(9호선)","에어컨,냉장고,세탁기,인덕션,전자레인지,침대,옷장,신발장,싱크대",불가능,확인필요,남동향,분리형 원룸,월세,원룸,17,56.2,🟥초🟧대🟨형🟩원🟦룸🟪,2021-10-27,"📌 강남 원룸, 투룸, 빌라, 오피스텔, 아파트, 상가 종목별 담당자 최다 매물 보유

📌 실시간 매물 업데이트/조건에 따른 필터링 시스템

📌 월세 및 보증금 최대 협의

📌 100% 실제 촬영한 무보정 실사진

📌 학생/여성 전용 안심매물 보유

📌 We are able to communicate in your native language! Feel free to call or text me anytime :) 

📌本公司有会说中文的职员随时联系我们",대표공인중개사 전용주,https://zigbang.com/home/oneroom/items/29214500
서울시 관악구 봉천동 63-17 ,"서울특별시 관악구 관악로15길 23-11 101동(봉천동, 관악맥스텔)",toclao77@naver.com,37.479783,126.951181,010-4992-2244,미래공인중개사사무소(전기준),02-888-2520,다세대건물,33000,"서울대입구 도보3분 거리에 초럭셔리 투룸 매물이 나왔습니다.
격이 다른 퀄리티로 관악구에서는 볼수가 없는 매물입니다.
초역세권이라 생활편의 시설 및 보안도 좋구요~
8층에 통유리라서 채광 및 환기도 완벽합니다!
무엇보다 요즘 정말 찾기 힘든 보증보험 100%가입이 되는 매물입니다.
현재 가장 핫한 현장이기에 서둘러 주시기를 부탁드립니다~
*모든 매물 보증금 및 월세 조정 가능
21.11.01에 직방에 등록된 매물입니다.",있음,8층,14층,"https://ic.zigbang.com/ic/items/29265562/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29265562/7.jpg?w=400&h=300&q=70&a=1",37.482740,126.954982,서울시,관악구,봉천동,15만원,"인터넷,TV",즉시 입주,"서울대입구역(2호선), 낙성대역(2호선), 봉천역(2호선)","에어컨,냉장고,세탁기,인덕션,전자레인지,책상,책장,옷장,신발장,싱크대",가능,확인필요,남동향,분리형 원룸,전세,원룸,17,56.2,서울대입구 격이다른 초럭셔리 투룸,2021-11-01,"안녕하세요. 미래부동산 입니다

실매물, 직접찍은사진, 실금액만 알려드립니다.

관악구,동작구 전 지역 다량 매물 보유하고있습니다

정직하고 믿음을 드리는 광고, 거짓없고 신뢰가는 광고로 깨끗하고 살기좋은집 찾아드립니다~ 

24시간 전화나 문자로 연락주시면 친절하게 안내해드리겠습니다.


",중개보조원 엄영현,https://zigbang.com/home/oneroom/items/29265562
서울시 강남구 논현동 77-18 ,서울특별시 강남구 테헤란로47길 25 1층 [101호](역삼동),globalpmc704@naver.com,37.505244,127.045496,010-2064-8144,글로벌공인중개사사무소(오준혁),02-564-8209,다세대건물,150," [ 위 치 / 교통 ]   

ㅇ 논현동 서울세관 블럭에 위치한 귀한 1룸+거실입니다

ㅇ 7호선 학동역  


[ 인테리어/특징 ]  

ㅇ 모던한 스타일로 리모델링이 되어 인기좋습니다

ㅇ 리모델링 된 모던한 스타일의 깔끔한 화장실입니다

ㅇ""1룸+거실""로 사이즈 정말 좋습니다

ㅇ 수납공간이 많아 옷이 많으신분 ""강추""~!!!

ㅇ 모든게 완벽히 갖춰져 있는 풀옵션으로  몸만오세요!!! 편히 사시기만 하시면 끝!!!!


ㅇ주차대수(총주차  8대, 세대당 0.72대 협의주차) 

----------------------------------------------------------------------------- 

◈ 3개월 이상 가격이며, 1~2개월은 별도 협의 바랍니다 ◈

21.10.31에 직방에 등록된 매물입니다.",없음,2층,4층,"https://ic.zigbang.com/ic/items/29259760/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29259760/11.jpg?w=400&h=300&q=70&a=1",37.517193,127.032394,서울시,강남구,논현동,10만원,-,즉시 입주,"학동역(7호선), 강남구청역(7호선,분당선), 압구정역(3호선)","에어컨,냉장고,세탁기,가스레인지,전자레인지,침대,옷장,신발장,싱크대",가능,확인필요,서향,분리형 원룸,월세,원룸,16,52.89,"🔴🔵월세할인⭕최고🔵🔴 ""1룸+거실"" 옵션상태 굿",2021-10-31,"◈ 100% 실사진으로 매일 찍어 업데이트합니다.

◈ 책임 / 맞춤 / 성실 / 정직 중개하겠습니다

◈ 강남 / 서초 / 송파 어디든 모시러 갑니다(픽업서비스)

◈ 365일 24시간 천절 상담가능
",대표공인중개사 오준혁,https://zigbang.com/home/oneroom/items/29259760
서울시 종로구 이화동 137-3 ,서울특별시 종로구 성균관로 7-1 1층(명륜2가),kdh5133@hanmail.net,37.583587,126.998055,010-4746-3703,스마일공인중개사사무소(강대흥),010-4746-3703,다세대건물,15000,"ㅁ 위 치
 혜화역에서 도보 7분거리/
 서울대 병원에서 도보 5분거리/
 대학로, 이화동 인접 /

 ㅁ 특 징
   ＃ 서울대병원/대학로/이화동 근처
   ＃ 전세, 넓은 분리형 원룸으로
     ☞ 풀옵션
     ☞ 채광 좋고 깔끔하며 조용함
   ＃ 전세자금 대출 가능 합니다.
     ☞ 등기상에서도 깨끗함(근저당 0원)
  ＃ 문화와 예술이 어울리는 동네
  ＃ 밤길에도 안전한 동네 
  ＃ 교통/위치 좋습니다. 
   ※  2010년도 내부 리모델링 하였습니다.

 ㅁ 주변환경
    이화동/대학로 주변에 각종마트, 편의점
    및 맛집들이 많아서 편리한 여가생활을
    할 수 있습니다.
21.10.27에 직방에 등록된 매물입니다.",없음,3층,4층,"https://ic.zigbang.com/ic/items/29221349/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29221349/8.jpg?w=400&h=300&q=70&a=1",37.576373,127.003435,서울시,종로구,이화동,5만원,"수도,인터넷",즉시 입주,"혜화역(4호선), 종로5가역(1호선), 동대문역(1호선,4호선)","에어컨,냉장고,세탁기,책상,책장,침대,옷장,신발장,싱크대",불가능,확인필요,남동향,분리형 원룸,전세,원룸,16,52.89,"💕 전세, 넓은 분리형 원룸💕 서울대병원, 이화동 💕",2021-10-27,"안녕하세요.
저희 부동산은 이지역의 토박이로서
신뢰와 믿음으로 정직하게 운영하는
공인중개사 겸 행정사(공직생활 33년 근무) 입니다.
♣ 문제있는 매물을 취급하지 않습니다.
♣ 믿음과 정직한 중개로 매물을 찾으실때 까지
   최선을 다해 도와드리겠습니다.
   스마일공인중개사 올림
",대표공인중개사 강대흥,https://zigbang.com/home/oneroom/items/29221349
서울시 강남구 논현동 251-7 ,서울 강남구 역삼동 671-31,banhadahouse@gmail.com,37.504435,127.038318,010-6710-6467,반하다공인중개사사무소(전용주),02-567-6467,다세대건물,400,"🎯 한줄평 Review
⭐고풍스런 럭셔리 넓은 원룸원거실

🎯 위치 & 교통 Location & Transportation
 ✔ 강남구청역(7호선,수인분당선), 선정릉역(9호선,수인분당선), 학동역(7호선)

🎯 특징 Features
 ✔ 앤티크한 가구들과 은은한 브라운톤의 인테리어
 ✔ 넓은 거실, 공간활용도 높은 실용적 구조
 ✔24시간 상주 관리인, 편한 주차시설

🎯 주차 & 편의 시설 Parking & Amenities
 ✔세대당 1대 주차가능
 ✔ 병원 / 편의점 / 세탁소 인접으로 편리

21.10.27에 직방에 등록된 매물입니다.",있음,2층,5층,"https://ic.zigbang.com/ic/items/29216084/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/11.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/12.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29216084/13.jpg?w=400&h=300&q=70&a=1",37.513380,127.037824,서울시,강남구,논현동,10만원,-,즉시 입주,"강남구청역(7호선,분당선), 선정릉역(분당선), 학동역(7호선)","에어컨,냉장고,세탁기,인덕션,전자레인지,책상,책장,침대,옷장,신발장,싱크대",가능,확인필요,남향,분리형 원룸,월세,원룸,16,52.99,🟥🟧🟨초럭셔리🟩🟦🟪,2021-10-27,"📌 강남 원룸, 투룸, 빌라, 오피스텔, 아파트, 상가 종목별 담당자 최다 매물 보유

📌 실시간 매물 업데이트/조건에 따른 필터링 시스템

📌 월세 및 보증금 최대 협의

📌 100% 실제 촬영한 무보정 실사진

📌 학생/여성 전용 안심매물 보유

📌 We are able to communicate in your native language! Feel free to call or text me anytime :) 

📌本公司有会说中文的职员随时联系我们",대표공인중개사 전용주,https://zigbang.com/home/oneroom/items/29216084
서울시 송파구 잠실동 296-2 ,서울특별시 송파구 백제고분로39길 10 1층(석촌동),kjkim012@hanmail.net,37.505304,127.105112,010-3080-5900,동양공인중개사사무소(김강진),02-414-4848,다세대건물,19000,"✔위치: 삼전역, 종합운동장역 부근

✔구조: 방1/화장실1 오픈형. 리모델링 됨 (중문)있음

✔금액: 전세 1.9억

✔층수: 6층중4층

✔입지조건: 9호선 삼전역, 종합운동장역 도보 5분

- 대로변 인접 - 새마을시장 및 탄천이랑 가까워요

- 주택가라 조용합니다

♠ 가격대비 사이즈 및 가격 잘나왔어요!! 
♠ 가격대비 가성비도 좋아요
♠ 계약 임박이라고 보셔도 무방해요
♠ 와서 보시면 더 이쁩니다

21.10.30에 직방에 등록된 매물입니다.",없음,4층,6층,"https://ic.zigbang.com/ic/items/29218074/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29218074/11.jpg?w=400&h=300&q=70&a=1",37.505649,127.079495,서울시,송파구,잠실동,3만원,-,즉시 입주,"삼전역(9호선), 종합운동장역(2호선), 신천역(2호선)","에어컨,냉장고,세탁기,인덕션,신발장,싱크대",가능,확인필요,북동향,오픈형 원룸,전세,원룸,15.5,51.07,♡ 내가 살고 싶은 1R ♡^^정말 이쁨 계약임박,2021-10-30,"***주거전문 부동산 동양부동산 입니다.***
▣ 100% 현장확인 물건입니다!
▣ 확실하고 정확한 물건을 소개합니다!
▣ 지금 전화하셔서 맞춤형 서비스를 경험하세요!",중개보조원 정성민,https://zigbang.com/home/oneroom/items/29218074
서울시 서초구 양재동 4-6 ,서울특별시 서초구 언남길 43 1층 (양재동),edina1225@naver.com,37.473188,127.042284,010-3268-6275,서초공인중개사사무소(임옥희),02-571-5949,다세대건물,13000,"☆ 사진을 클릭하시면, 잘림없이 정확하게 보실수 있습니다.^^ 
(세로사진이 잘립니다. 참고해주세요.^^)


● 공급면적: 50.40㎡ (15.25평)

● 중개대상물종류: 다세대주택 
- 전세대출 가능합니다.^^
- 일반전세대출 가능하며, 질권설정대출, 안심전세대출은 어렵습니다. 
- 임대인 임대사업자로 보증보험 의무가입 합니다. :)
   (보험료는 75% 임대인 부담, 25%는 임차인 부담입니다)

● 욕실 수: 방 1개, 화장실 1개
- 15평 정도의 큰 방+거실+주방+베란다가 있는 구조의 집입니다.^^

● 사용승인일: 2002.09.19
- 연식대비 건물 내/외관 깔끔한 편입니다. :) 

● 주차대수(총주차대수, 세대당 주차대수): 
- 일렬주차이며, 주차 1대 가능합니다.^^ 

### 24시간 관리인 상주하며, 1층 보안문 설치, 단지내 CCTV로 보안 잘 되어있습니다.^^
21.10.28에 직방에 등록된 매물입니다.",있음,4층,5층,"https://ic.zigbang.com/ic/items/29180454/1.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/2.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/3.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/4.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/5.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/6.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/7.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/8.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/9.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/10.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/11.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/12.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/13.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/14.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/15.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/16.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/17.jpg?w=400&h=300&q=70&a=1,https://ic.zigbang.com/ic/items/29180454/18.jpg?w=400&h=300&q=70&a=1",37.481944,127.041773,서울시,서초구,양재동,15만원,-,2021. 11. 08 이후,"매봉역(3호선), 양재역(3호선,신분당선), 양재시민의숲역(신분당선)","에어컨,가스레인지,신발장,싱크대",가능,확인필요,남서향,분리형 원룸,월세,원룸,15.3,50.41,☀15평☀원룸원거실☀주차가능☀단지형고급빌라☀대출동의☀,2021-10-28,"● 문의사항은 언제든지 편하게 연락주세요~^_^*
● 친절, 성실 중개로 함께 하겠습니다 :D 
 
☆ 사진은 제가 직접 찍은 100% 실사진 입니다. :) 
★ 안전한 집, 전입신고 가능한 집만 중개합니다. 
- 세입자의 입장에서 마지막 하나까지 꼼꼼하게 체크하겠습니다. ☆ ",중개보조원 조효진,https://zigbang.com/home/oneroom/items/29180454
